PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_q40_F6L2LP_common.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4-1627-2	4	147819005	147819202	+	10.5	NA	"exon (transcript:Zm00001d051187_T008, exon 14 of 16)"	NA	12883	transcript:Zm00001d051187_T009								
5-2269	5	40707914	40708111	+	10.5	NA	NA	NA	-21103	transcript:Zm00001d014317_T001								
9-2154-2	9	156966258	156966455	+	10.5	NA	"intron (transcript:Zm00001d048474_T001, intron 1 of 6)"	NA	-2753	transcript:Zm00001d027226_T001								
10-1569	10	15722539	15722736	+	10.5	NA	"exon (transcript:Zm00001d023692_T001, exon 2 of 4)"	NA	2099	transcript:Zm00001d023692_T001								
10-1950	10	84010130	84010327	+	10.5	NA	NA	NA	-4877	transcript:Zm00001d024699_T001								
3-3383	3	212438999	212439196	+	10.5	NA	"intron (transcript:Zm00001d043861_T001, intron 25 of 29)"	NA	-9023	transcript:Zm00001d043862_T001								
2-3380	2	134273926	134274123	+	10.5	NA	NA	NA	-93357	transcript:Zm00001d004729_T001								
7-2577	7	150920263	150920460	+	10.5	NA	NA	NA	6576	transcript:Zm00001d021396_T004								
4-3387	4	176748113	176748310	+	10.5	NA	"intron (transcript:Zm00001d052022_T005, intron 1 of 1)"	NA	1	transcript:Zm00001d052022_T020								
1-3804	1	172995678	172995875	+	10.5	NA	NA	NA	-31629	transcript:Zm00001d031005_T018								
5-3124	5	126253906	126254103	+	10.5	NA	NA	NA	-13821	transcript:Zm00001d015851_T001								
3-2460	3	175631567	175631764	+	10.5	NA	NA	NA	11378	transcript:Zm00001d042656_T001								
8-2219	8	36899122	36899319	+	10.5	NA	NA	NA	-55278	transcript:Zm00001d009109_T001								
4-3323	4	150156482	150156679	+	10.5	NA	NA	NA	43453	transcript:Zm00001d051244_T002								
2-2756	2	30032876	30033073	+	10.5	NA	NA	NA	-15415	transcript:Zm00001d003034_T001								
2-2450	2	113670355	113670552	+	10.5	NA	NA	NA	-9288	transcript:Zm00001d004466_T008								
9-1731-2	9	71477103	71477300	+	10.5	NA	NA	NA	-65508	transcript:Zm00001d046199_T001								
3-3095	3	68541110	68541307	+	10.5	NA	"intron (transcript:Zm00001d040831_T018, intron 4 of 25)"	NA	-1543	transcript:Zm00001d040831_T024								
6-2472	6	119630096	119630293	+	10.5	NA	NA	NA	-10990	transcript:Zm00001d037291_T001								
1-4240	1	77714247	77714444	+	10.5	NA	NA	NA	29557	transcript:Zm00001d029581_T001								
4-2534	4	163124891	163125088	+	10.5	NA	NA	NA	-3756	transcript:Zm00001d051571_T001								
8-1774-2	8	142788323	142788520	+	10.5	NA	NA	NA	3606	transcript:Zm00001d008112_T001								
4-2815-2	4	99092825	99093022	+	10.5	NA	NA	NA	-53999	transcript:Zm00001d050544_T001								
5-3183	5	162578031	162578228	+	10.5	NA	"3' UTR (transcript:Zm00001d016444_T006, exon 3 of 3)"	NA	1535	transcript:Zm00001d016444_T006								
1-4486	1	219828221	219828418	+	10.5	NA	"3' UTR (transcript:Zm00001d032267_T013, exon 10 of 10)"	NA	6648	transcript:Zm00001d032267_T013								
1-4629	1	278286694	278286891	+	10.5	NA	promoter-TSS (transcript:Zm00001d033909_T001)	NA	-801	transcript:Zm00001d033909_T001								
5-2873	5	209363969	209364166	+	10.5	NA	"3' UTR (transcript:Zm00001d017876_T011, exon 7 of 7)"	NA	2470	transcript:Zm00001d017876_T009								
6-2064	6	100874285	100874482	+	10.5	NA	"intron (transcript:Zm00001d036785_T003, intron 19 of 21)"	NA	3102	transcript:Zm00001d036786_T001								
8-2232	8	45422163	45422360	+	10.5	NA	NA	NA	166130	transcript:Zm00001d009231_T001								
3-2098	3	151477830	151478027	+	10.5	NA	"exon (transcript:Zm00001d042116_T001, exon 3 of 3)"	NA	1725	transcript:Zm00001d042116_T001								
3-2856	3	189874050	189874247	+	10.5	NA	NA	NA	-2457	transcript:Zm00001d043129_T002								
3-2302	3	47215049	47215246	+	10.5	NA	NA	NA	25295	transcript:Zm00001d040503_T001								
6-2448	6	109294721	109294918	+	10.5	NA	NA	NA	3137	transcript:Zm00001d037018_T001								
2-2377	2	46840909	46841106	+	10.5	NA	promoter-TSS (transcript:Zm00001d003531_T002)	NA	-596	transcript:Zm00001d003531_T002								
3-2974	3	6305563	6305760	+	10.5	NA	TTS (transcript:Zm00001d039514_T003)	NA	1666	transcript:Zm00001d039514_T003								
2-2806	2	57917465	57917662	+	10.5	NA	NA	NA	-27630	transcript:Zm00001d003763_T001								
1-3147-2	1	58911315	58911512	+	10.5	NA	NA	NA	37396	transcript:Zm00001d029121_T002								
4-2311-2	4	239943697	239943894	+	10.5	NA	NA	NA	-9775	transcript:Zm00001d053728_T001								
9-1891	9	9958819	9959016	+	10.5	NA	NA	NA	-22285	transcript:Zm00001d045008_T001								
4-2966-2	4	195162214	195162411	+	10.5	NA	"exon (transcript:Zm00001d052624_T001, exon 3 of 7)"	NA	1677	transcript:Zm00001d052624_T004								
10-2094	10	143884123	143884320	+	10.5	NA	"exon (transcript:Zm00001d026344_T001, exon 3 of 3)"	NA	2688	transcript:Zm00001d026344_T001								
8-2060	8	147537425	147537622	+	10.5	NA	"intron (transcript:Zm00001d011349_T001, intron 1 of 1)"	NA	1759	transcript:Zm00001d011349_T001								
4-1883	4	135270496	135270693	+	10.5	NA	promoter-TSS (transcript:Zm00001d050985_T001)	NA	-592	transcript:Zm00001d050985_T004								
1-2878	1	198161896	198162093	+	10.5	NA	"3' UTR (transcript:Zm00001d031670_T002, exon 6 of 6)"	NA	-2374	transcript:Zm00001d031672_T001								
8-2366	8	117812996	117813193	+	10.5	NA	NA	NA	43468	transcript:Zm00001d010492_T011								
1-2215-2	1	280454027	280454224	+	10.5	NA	NA	NA	24452	transcript:Zm00001d033988_T001								
6-2398-2	6	90187048	90187245	+	10.5	NA	"intron (transcript:Zm00001d036484_T001, intron 3 of 11)"	NA	905	transcript:Zm00001d036484_T001								
10-1562	10	9502598	9502795	+	10.5	NA	"intron (transcript:Zm00001d023055_T001, intron 1 of 1)"	NA	1586	transcript:Zm00001d023541_T001								
10-1391	10	40462702	40462899	+	10.5	NA	NA	NA	18202	transcript:Zm00001d024058_T001								
7-2240	7	161615605	161615802	+	10.5	NA	NA	NA	-4287	transcript:Zm00001d021731_T001								
1-4310	1	118934610	118934807	+	10.5	NA	NA	NA	-55566	transcript:Zm00001d030282_T034								
7-1743-2	7	4278844	4279041	+	10.5	NA	promoter-TSS (transcript:Zm00001d018754_T001)	NA	-804	transcript:Zm00001d018754_T001								
2-2995	2	188392242	188392439	+	10.5	NA	"3' UTR (transcript:Zm00001d005785_T016, exon 11 of 11)"	NA	17012	transcript:Zm00001d005785_T021								
1-3912	1	234805879	234806076	+	10.5	NA	NA	NA	-36966	transcript:Zm00001d032694_T001								
6-1796	6	98736493	98736690	+	10.5	NA	"exon (transcript:Zm00001d036718_T002, exon 7 of 7)"	NA	3060	transcript:Zm00001d036718_T002								
1-3472	1	275861956	275862153	+	10.5	NA	"3' UTR (transcript:Zm00001d033853_T003, exon 10 of 10)"	NA	9042	transcript:Zm00001d033853_T003								
7-2570	7	147365903	147366100	+	10.5	NA	promoter-TSS (transcript:Zm00001d021270_T001)	NA	-706	transcript:Zm00001d021270_T001								
3-3345	3	199608253	199608450	+	10.5	NA	NA	NA	-3075	transcript:Zm00001d043431_T001								
4-3165-2	4	43942825	43943022	+	10.5	NA	NA	NA	-47001	transcript:Zm00001d049768_T001								
2-2790	2	50111009	50111206	+	10.5	NA	"intron (transcript:Zm00001d003611_T015, intron 1 of 9)"	NA	-98	transcript:Zm00001d003611_T021								
6-2539	6	149780530	149780727	+	10.5	NA	NA	NA	-49181	transcript:Zm00001d038156_T012								
9-1980	9	66214187	66214384	+	10.5	NA	NA	NA	-97750	transcript:Zm00001d046137_T001								
10-1783-2	10	146509067	146509264	+	10.5	NA	NA	NA	3306	transcript:Zm00001d026468_T001								
8-1912	8	35752890	35753087	+	10.5	NA	NA	NA	-123679	transcript:Zm00001d009090_T001								
4-3071	4	246282506	246282703	+	10.5	NA	"intron (transcript:Zm00001d054090_T007, intron 18 of 21)"	NA	-1422	transcript:Zm00001d054089_T001								
2-2361-2	2	37983606	37983803	+	10.5	NA	NA	NA	-18542	transcript:Zm00001d003252_T004								
7-1548	7	46905432	46905629	+	10.5	NA	promoter-TSS (transcript:Zm00001d019629_T001)	NA	-293	transcript:Zm00001d019629_T001								
10-1736-2	10	127515244	127515441	+	10.5	NA	promoter-TSS (transcript:Zm00001d025720_T001)	NA	-77	transcript:Zm00001d025720_T001								
2-2911	2	137253249	137253446	+	10.5	NA	NA	NA	-72590	transcript:Zm00001d004762_T001								
10-1677-2	10	84744068	84744265	+	10.5	NA	NA	NA	-1614	transcript:Zm00001d024716_T003								
7-1595	7	92595936	92596133	+	10.5	NA	NA	NA	75198	transcript:Zm00001d020109_T001								
8-1919	8	40247650	40247847	+	10.5	NA	NA	NA	23931	transcript:Zm00001d009161_T003								
2-2812	2	66181051	66181248	+	10.5	NA	NA	NA	23929	transcript:Zm00001d003900_T001								
3-2927	3	224395252	224395449	+	10.5	NA	NA	NA	-2063	transcript:Zm00001d044291_T001								
5-2738	5	129407961	129408158	+	10.5	NA	NA	NA	90018	transcript:Zm00001d015889_T001								
1-3946	1	250442782	250442979	+	10.5	NA	"exon (transcript:Zm00001d033111_T004, exon 3 of 5)"	NA	529	transcript:Zm00001d033111_T005								
6-1995	6	48229285	48229482	+	10.5	NA	promoter-TSS (transcript:Zm00001d035779_T003)	NA	-23	transcript:Zm00001d035779_T003								
3-2822	3	175830514	175830711	+	10.5	NA	"exon (transcript:Zm00001d042662_T003, exon 6 of 13)"	NA	1396	transcript:Zm00001d042662_T006								
1-3562	1	16860437	16860634	+	10.5	NA	promoter-TSS (transcript:Zm00001d022682_T001)	NA	-128	transcript:Zm00001d022682_T001								
9-2225-2	9	30486332	30486529	+	10.5	NA	promoter-TSS (transcript:Zm00001d045641_T001)	NA	-435	transcript:Zm00001d045641_T001								
3-3015-2	3	28428406	28428603	+	10.5	NA	NA	NA	18188	transcript:Zm00001d040123_T006								
3-2666	3	61733360	61733557	+	10.5	NA	NA	NA	-270704	transcript:Zm00001d040744_T001								
3-3433	3	232528590	232528787	+	10.5	NA	"intron (transcript:Zm00001d044584_T002, intron 26 of 26)"	NA	18676	transcript:Zm00001d044584_T019								
6-2486	6	128051988	128052185	+	10.5	NA	"intron (transcript:Zm00001d037522_T001, intron 1 of 2)"	NA	4588	transcript:Zm00001d037522_T001								
2-3431	2	160697755	160697952	+	10.5	NA	TTS (transcript:Zm00001d005140_T001)	NA	2126	transcript:Zm00001d005141_T001								
4-2238	4	195113452	195113649	+	10.5	NA	NA	NA	24468	transcript:Zm00001d026968_T001								
3-3047	3	45530071	45530268	+	10.5	NA	NA	NA	-32201	transcript:Zm00001d000518_T001								
3-2446-2	3	165282687	165282884	+	10.5	NA	NA	NA	-358999	transcript:Zm00001d042402_T001								
1-2852	1	179823090	179823287	+	10.5	NA	NA	NA	-4758	transcript:Zm00001d031155_T001								
2-2803	2	56146538	56146735	+	10.5	NA	"exon (transcript:Zm00001d003716_T001, exon 3 of 6)"	NA	2128	transcript:Zm00001d003716_T001								
5-2463	5	193029864	193030061	+	10.5	NA	NA	NA	-27377	transcript:Zm00001d017329_T001								
3-2619-2	3	34226660	34226857	+	10.5	NA	NA	NA	-23891	transcript:Zm00001d040254_T001								
7-2117	7	85036097	85036294	+	10.5	NA	promoter-TSS (transcript:Zm00001d020004_T004)	NA	-872	transcript:Zm00001d020004_T003								
10-1077	10	91825090	91825287	+	10.5	NA	NA	NA	-5079	transcript:Zm00001d024876_T001								
10-2110	10	148343710	148343907	+	10.5	NA	"3' UTR (transcript:Zm00001d026580_T004, exon 2 of 2)"	NA	1960	transcript:Zm00001d026580_T001								
3-2761	3	136206236	136206433	+	10.5	NA	NA	NA	9329	transcript:Zm00001d041759_T005								
1-4216	1	65689748	65689945	+	10.5	NA	NA	NA	-68072	transcript:Zm00001d029314_T001								
2-3079	2	230056636	230056833	+	10.5	NA	NA	NA	5105	transcript:Zm00001d007372_T007								
9-1649	9	21687788	21687985	+	10.5	NA	"intron (transcript:Zm00001d045425_T001, intron 8 of 18)"	NA	8612	transcript:Zm00001d045425_T001								
2-3310	2	91246698	91246895	+	10.5	NA	NA	NA	46406	transcript:Zm00001d004203_T001								
9-2330	9	83865562	83865759	+	10.5	NA	NA	NA	63715	transcript:Zm00001d046357_T003								
2-2077-2	2	59001596	59001793	+	10.5	NA	"exon (transcript:Zm00001d003778_T001, exon 4 of 9)"	NA	2400	transcript:Zm00001d003778_T001								
3-3135	3	100608572	100608769	+	10.5	NA	NA	NA	-4718	transcript:Zm00001d041157_T001								
9-1935	9	36395869	36396066	+	10.5	NA	"intron (transcript:Zm00001d045744_T002, intron 6 of 10)"	NA	8313	transcript:Zm00001d027080_T001								
6-2193	6	162658431	162658628	+	10.5	NA	TTS (transcript:Zm00001d038695_T001)	NA	1913	transcript:Zm00001d038695_T001								
10-1374	10	22287946	22288143	+	10.5	NA	promoter-TSS (transcript:Zm00001d023803_T001)	NA	-371	transcript:Zm00001d023803_T001								
1-3940	1	248460745	248460942	+	10.5	NA	TTS (transcript:Zm00001d033047_T001)	NA	1425	transcript:Zm00001d033047_T001								
3-2344-2	3	81509425	81509622	+	10.5	NA	NA	NA	15009	transcript:Zm00001d040946_T001								
9-1903-2	9	14249986	14250183	+	10.5	NA	"intron (transcript:Zm00001d045147_T019, intron 7 of 15)"	NA	14460	transcript:Zm00001d045147_T028								
1-4006	1	289596568	289596765	+	10.5	NA	NA	NA	-6282	transcript:Zm00001d034331_T001								
6-2249	6	5636219	5636416	+	10.5	NA	NA	NA	7858	transcript:Zm00001d035109_T001								
5-2967	5	27502878	27503075	+	10.5	NA	promoter-TSS (transcript:Zm00001d013986_T001)	NA	-843	transcript:Zm00001d013986_T001								
1-4378	1	163486595	163486792	+	10.5	NA	NA	NA	-39409	transcript:Zm00001d030855_T001								
2-3595	2	231721029	231721226	+	10.5	NA	NA	NA	-21567	transcript:Zm00001d007438_T001								
1-2267	1	7555407	7555604	+	10.5	NA	NA	NA	-3180	transcript:Zm00001d027532_T001								
9-2484	9	152869865	152870062	+	10.5	NA	NA	NA	5197	transcript:Zm00001d048230_T001								
1-3991	1	279091629	279091826	+	10.5	NA	"exon (transcript:Zm00001d033935_T008, exon 4 of 14)"	NA	1249	transcript:Zm00001d033935_T017								
2-2881-2	2	117719428	117719625	+	10.5	NA	NA	NA	-37438	transcript:Zm00001d004555_T001								
10-1475	10	109713798	109713995	+	10.5	NA	NA	NA	-54395	transcript:Zm00001d025218_T001								
5-2492	5	207897726	207897923	+	10.5	NA	NA	NA	-20617	transcript:Zm00001d017827_T001								
7-2601	7	161009088	161009285	+	10.5	NA	NA	NA	-25559	transcript:Zm00001d021711_T001								
5-3034	5	59828123	59828320	+	10.5	NA	promoter-TSS (transcript:Zm00001d014698_T002)	NA	-867	transcript:Zm00001d014698_T002								
9-2116-2	9	144119534	144119731	+	10.5	NA	"5' UTR (transcript:Zm00001d047880_T002, exon 1 of 3)"	NA	513	transcript:Zm00001d047880_T002								
2-2023	2	17771037	17771234	+	10.5	NA	NA	NA	-22419	transcript:Zm00001d002641_T002								
8-1969	8	83528319	83528516	+	10.5	NA	NA	NA	84169	transcript:Zm00001d009820_T001								
9-2259	9	45944287	45944484	+	10.5	NA	NA	NA	-1547	transcript:Zm00001d045888_T001								
6-1841-2	6	129211306	129211503	+	10.5	NA	NA	NA	16335	transcript:Zm00001d037554_T001								
5-2318	5	78678978	78679175	+	10.5	NA	"intron (transcript:Zm00001d015184_T001, intron 2 of 2)"	NA	1015	transcript:Zm00001d015184_T001								
1-2956	1	266268509	266268706	+	10.5	NA	NA	NA	18625	transcript:Zm00001d033535_T014								
2-2097-2	2	82712681	82712878	+	10.5	NA	"exon (transcript:Zm00001d004099_T005, exon 2 of 3)"	NA	2755	transcript:Zm00001d004099_T006								
9-2113	9	141340770	141340967	+	10.5	NA	NA	NA	-3188	transcript:Zm00001d047765_T001								
8-2309	8	85216659	85216856	+	10.5	NA	NA	NA	95671	transcript:Zm00001d009851_T001								
5-2034	5	123356011	123356208	+	10.5	NA	TTS (transcript:Zm00001d015815_T001)	NA	1881	transcript:Zm00001d015815_T001								
10-2090	10	142962728	142962925	+	10.5	NA	NA	NA	-1032	transcript:Zm00001d026289_T003								
2-2589	2	205187937	205188134	+	10.5	NA	"exon (transcript:Zm00001d006345_T001, exon 3 of 7)"	NA	7314	transcript:Zm00001d006345_T001								
10-1685	10	94273237	94273434	+	10.5	NA	TTS (transcript:Zm00001d024908_T001)	NA	-2233	transcript:Zm00001d024907_T001								
9-2281-2	9	58179607	58179804	+	10.5	NA	promoter-TSS (transcript:Zm00001d046039_T030)	NA	-112	transcript:Zm00001d046039_T030								
3-3377	3	210781587	210781784	+	10.5	NA	NA	NA	-2952	transcript:Zm00001d043812_T001								
8-2480	8	165877327	165877524	+	10.5	NA	"exon (transcript:Zm00001d011983_T009, exon 6 of 6)"	NA	1939	transcript:Zm00001d011983_T064								
4-2127-2	4	93660167	93660364	+	10.5	NA	NA	NA	42037	transcript:Zm00001d026860_T001								
1-4200	1	56132854	56133051	+	10.5	NA	NA	NA	-11043	transcript:Zm00001d029051_T001								
9-2327	9	83095699	83095896	+	10.5	NA	NA	NA	136139	transcript:Zm00001d027129_T001								
10-1581	10	21821922	21822119	+	10.5	NA	NA	NA	-74196	transcript:Zm00001d023797_T001								
1-3598-2	1	33149786	33149983	+	10.5	NA	"exon (transcript:Zm00001d028392_T001, exon 2 of 3)"	NA	462	transcript:Zm00001d028392_T001								
9-1858	9	154095181	154095378	+	10.5	NA	promoter-TSS (transcript:Zm00001d048297_T001)	NA	-262	transcript:Zm00001d048297_T001								
5-3162	5	149931756	149931953	+	10.5	NA	NA	NA	-5496	transcript:Zm00001d016194_T001								
7-2213-2	7	149405102	149405299	+	10.5	NA	NA	NA	-6635	transcript:Zm00001d021342_T002								
3-2835	3	181086907	181087104	+	10.5	NA	NA	NA	-1178	transcript:Zm00001d042817_T001								
8-2517	8	180490283	180490480	+	10.5	NA	"exon (transcript:Zm00001d012770_T001, exon 3 of 3)"	NA	1956	transcript:Zm00001d012770_T003								
10-1745-2	10	131071760	131071957	+	10.5	NA	NA	NA	-8831	transcript:Zm00001d025827_T001								
9-2302	9	69023066	69023263	+	10.5	NA	NA	NA	-114381	transcript:Zm00001d046172_T001								
10-1948	10	82680869	82681066	+	10.5	NA	NA	NA	-7818	transcript:Zm00001d024665_T001								
2-2562	2	191759913	191760110	+	10.5	NA	NA	NA	4872	transcript:Zm00001d005884_T004								
2-3012-2	2	194118113	194118310	+	10.5	NA	TTS (transcript:Zm00001d005968_T003)	NA	3394	transcript:Zm00001d005968_T006								
6-2215	6	168096975	168097172	+	10.5	NA	NA	NA	-4500	transcript:Zm00001d038979_T001								
3-2743-2	3	127333452	127333649	+	10.5	NA	NA	NA	49107	transcript:Zm00001d041565_T001								
4-3406	4	182772679	182772876	+	10.5	NA	"3' UTR (transcript:Zm00001d052194_T001, exon 2 of 2)"	NA	1009	transcript:Zm00001d052194_T001								
10-1983	10	99573139	99573336	+	10.5	NA	NA	NA	-28305	transcript:Zm00001d025010_T010								
6-2320-2	6	51422625	51422822	+	10.5	NA	NA	NA	-90246	transcript:Zm00001d035807_T001								
4-3312	4	141860641	141860838	+	10.5	NA	NA	NA	41589	transcript:Zm00001d051094_T001								
3-3204	3	132280234	132280431	+	10.5	NA	NA	NA	2173	transcript:Zm00001d041660_T001								
8-2433	8	146873235	146873432	+	10.5	NA	NA	NA	-5216	transcript:Zm00001d011329_T002								
2-3116	2	243770402	243770599	+	10.5	NA	"intron (transcript:Zm00001d007945_T013, intron 16 of 17)"	NA	1675	transcript:Zm00001d007946_T001								
8-2357	8	111757184	111757381	+	10.5	NA	NA	NA	-49183	transcript:Zm00001d010373_T001								
7-2500	7	118672689	118672886	+	10.5	NA	NA	NA	16877	transcript:Zm00001d020490_T001								
1-3357-2	1	208016414	208016611	+	10.5	NA	TTS (transcript:Zm00001d031959_T001)	NA	2826	transcript:Zm00001d031959_T001								
6-2006	6	59721308	59721505	+	10.5	NA	NA	NA	-22253	transcript:Zm00001d035910_T001								
3-2677	3	69985562	69985759	+	10.5	NA	NA	NA	106342	transcript:Zm00001d000549_T001								
3-2064-2	3	128316564	128316761	+	10.5	NA	NA	NA	64034	transcript:Zm00001d041583_T002								
6-1862	6	139099085	139099282	+	10.5	NA	"exon (transcript:Zm00001d037832_T018, exon 4 of 8)"	NA	2010	transcript:Zm00001d037832_T013								
5-2811	5	181264234	181264431	+	10.5	NA	"intron (transcript:Zm00001d016957_T003, intron 2 of 9)"	NA	-870	transcript:Zm00001d016958_T001								
1-3586-2	1	27090334	27090531	+	10.5	NA	NA	NA	-3714	transcript:Zm00001d028222_T001								
1-3300	1	163498157	163498354	+	10.5	NA	NA	NA	-27847	transcript:Zm00001d030855_T001								
8-1369-2	8	178306816	178307013	+	10.5	NA	"5' UTR (transcript:Zm00001d012667_T012, exon 1 of 7)"	NA	273	transcript:Zm00001d012667_T012								
6-1656-2	6	167323924	167324121	+	10.5	NA	promoter-TSS (transcript:Zm00001d038937_T001)	NA	-44	transcript:Zm00001d038937_T001								
4-2765	4	55478158	55478355	+	10.5	NA	NA	NA	17908	transcript:Zm00001d049957_T001								
6-1771	6	76059142	76059339	+	10.5	NA	"intron (transcript:Zm00001d036181_T001, intron 5 of 13)"	NA	2331	transcript:Zm00001d036181_T001								
6-2324-2	6	53678634	53678831	+	10.5	NA	NA	NA	-58830	transcript:Zm00001d001349_T001								
3-2321-2	3	60290151	60290348	+	10.5	NA	"intron (transcript:Zm00001d040726_T001, intron 4 of 5)"	NA	3253	transcript:Zm00001d040726_T001								
1-4026	1	299214304	299214501	+	10.5	NA	"exon (transcript:Zm00001d034666_T002, exon 5 of 6)"	NA	1591	transcript:Zm00001d034666_T001								
7-2475	7	104041006	104041203	+	10.5	NA	promoter-TSS (transcript:Zm00001d020282_T001)	NA	-649	transcript:Zm00001d020282_T001								
4-2693	4	10377396	10377593	+	10.5	NA	"exon (transcript:Zm00001d048944_T005, exon 10 of 11)"	NA	4943	transcript:Zm00001d048944_T006								
1-4593	1	258522979	258523176	+	10.5	NA	"exon (transcript:Zm00001d033310_T001, exon 5 of 7)"	NA	1799	transcript:Zm00001d033310_T001								
8-1993	8	97445297	97445494	+	10.5	NA	"intron (transcript:Zm00001d010055_T003, intron 1 of 7)"	NA	546	transcript:Zm00001d010055_T004								
2-3201	2	38091240	38091437	+	10.5	NA	TTS (transcript:Zm00001d003257_T001)	NA	2948	transcript:Zm00001d003257_T003								
5-2962	5	23992240	23992437	+	10.5	NA	promoter-TSS (transcript:Zm00001d013891_T002)	NA	-173	transcript:Zm00001d013891_T002								
5-2694	5	98758473	98758670	+	10.5	NA	NA	NA	-69479	transcript:Zm00001d015570_T001								
2-3296	2	82154163	82154360	+	10.5	NA	NA	NA	-39022	transcript:Zm00001d004093_T001								
10-1113	10	118109827	118110024	+	10.5	NA	TTS (transcript:Zm00001d025420_T001)	NA	1894	transcript:Zm00001d025420_T001								
3-3439	3	233912787	233912984	+	10.5	NA	NA	NA	-6874	transcript:zma-mir169n								
2-2538-2	2	178897383	178897580	+	10.5	NA	NA	NA	26431	transcript:Zm00001d005573_T030								
6-2608	6	173929931	173930128	+	10.5	NA	NA	NA	-2394	transcript:Zm00001d039231_T001								
7-2265	7	174006967	174007164	+	10.5	NA	"intron (transcript:Zm00001d022268_T001, intron 1 of 8)"	NA	1619	transcript:Zm00001d022268_T001								
8-2010	8	113494516	113494713	+	10.5	NA	"intron (transcript:Zm00001d010411_T003, intron 2 of 4)"	NA	1852	transcript:Zm00001d010411_T004								
8-2235	8	46468323	46468520	+	10.5	NA	NA	NA	63246	transcript:Zm00001d009243_T002								
9-2373	9	101858832	101859029	+	10.5	NA	promoter-TSS (transcript:Zm00001d046675_T001)	NA	-374	transcript:Zm00001d046675_T001								
5-2355-2	5	108287043	108287240	+	10.5	NA	"intron (transcript:Zm00001d015693_T002, intron 3 of 3)"	NA	-1186	transcript:Zm00001d015693_T001								
4-2343-2	4	9616797	9616994	+	10.5	NA	NA	NA	-2022	transcript:Zm00001d048936_T001								
4-2390-2	4	38148841	38149038	+	10.5	NA	"exon (transcript:Zm00001d049630_T001, exon 4 of 7)"	NA	1948	transcript:Zm00001d049630_T002								
1-4521	1	231935754	231935951	+	10.5	NA	NA	NA	-1589	transcript:Zm00001d032608_T001								
1-3586	1	27090334	27090531	+	10.5	NA	NA	NA	-3714	transcript:Zm00001d028222_T001								
9-1836	9	140740773	140740970	+	10.5	NA	promoter-TSS (transcript:Zm00001d047747_T002)	NA	-307	transcript:Zm00001d047747_T001								
10-1961	10	88560126	88560323	+	10.5	NA	"exon (transcript:Zm00001d024795_T001, exon 1 of 3)"	NA	2318	transcript:Zm00001d024795_T001								
4-3553	4	241592460	241592657	+	10.5	NA	promoter-TSS (transcript:Zm00001d053813_T003)	NA	405	transcript:Zm00001d053813_T001								
10-1870-2	10	41035977	41036174	+	10.5	NA	NA	NA	51810	transcript:Zm00001d024066_T001								
3-2384-2	3	121257632	121257829	+	10.5	NA	NA	NA	-1580	transcript:Zm00001d041454_T001								
2-3383	2	135216855	135217052	+	10.5	NA	NA	NA	-62522	transcript:Zm00001d004740_T002								
7-2636	7	174782780	174782977	+	10.5	NA	"intron (transcript:Zm00001d022302_T001, intron 2 of 5)"	NA	2130	transcript:Zm00001d022302_T001								
2-3189-2	2	32318737	32318934	+	10.5	NA	NA	NA	-2464	transcript:Zm00001d003104_T001								
1-3947	1	250585782	250585979	+	10.5	NA	"intron (transcript:Zm00001d033116_T001, intron 1 of 2)"	NA	136	transcript:Zm00001d033116_T001								
5-2563	5	10550753	10550950	+	10.5	NA	TTS (transcript:Zm00001d013410_T001)	NA	2003	transcript:Zm00001d013410_T003								
2-3498	2	193818109	193818306	+	10.5	NA	"exon (transcript:Zm00001d005958_T002, exon 3 of 4)"	NA	2031	transcript:Zm00001d005958_T001								
1-3616	1	41294390	41294587	+	10.5	NA	NA	NA	-11529	transcript:Zm00001d028627_T001								
8-2001	8	106168028	106168225	+	10.5	NA	NA	NA	-31869	transcript:Zm00001d010251_T002								
3-2724	3	114710290	114710487	+	10.5	NA	TTS (transcript:Zm00001d041374_T001)	NA	1896	transcript:Zm00001d041374_T001								
1-3464-2	1	270203360	270203557	+	10.5	NA	NA	NA	-16804	transcript:Zm00001d033669_T002								
9-1832	9	139406249	139406446	+	10.5	NA	NA	NA	-3925	transcript:Zm00001d047696_T001								
1-3212-2	1	100344328	100344525	+	10.5	NA	NA	NA	-41554	transcript:Zm00001d030023_T001								
5-2683-2	5	90199227	90199424	+	10.5	NA	NA	NA	13591	transcript:Zm00001d015437_T001								
4-3519	4	222851981	222852178	+	10.5	NA	NA	NA	-8615	transcript:Zm00001d053259_T002								
5-2776-2	5	154446729	154446926	+	10.5	NA	NA	NA	-128165	transcript:Zm00001d016262_T001								
2-3008	2	192121740	192121937	+	10.5	NA	NA	NA	-1937	transcript:Zm00001d005897_T001								
2-2883-2	2	120215217	120215414	+	10.5	NA	TTS (transcript:Zm00001d000908_T001)	NA	-808	transcript:Zm00001d004587_T001								
